+3.57953347E+00 -6.10353680E-04 +1.01681433E-06 +9.07005884E-10 -9.04424499E-13 -1.43440860E+04 +3.50840928E+00;%12 - CO
+2.35677352E+00 +8.98459677E-03 -7.12356269E-06 +2.45919022E-09 -1.43699548E-13 -4.83719697E+04 +9.90105222E+00;%13 - CO2
+8.08681094E-01 +2.33615629E-02 -3.55171815E-05 +2.80152437E-08 -8.50072974E-12 +2.64289807E+04 +1.39397051E+01;%14 - C2H2
+3.95920148E+00 -7.57052247E-03 +5.70990292E-05 -6.91588753E-08 +2.69884373E-11 +5.08977593E+03 +4.09733096E+00;%15 - C2H4
+4.29142492E+00 -5.50154270E-03 +5.99438288E-05 -7.08466285E-08 +2.68685771E-11 -1.15222055E+04 +2.66682316E+00;%16 - C2H6
+0.34090624E+01 +0.10738574E-01 +0.18914925E-05 -0.71585831E-08 +0.28673851E-11 +0.62000000E+02 +0.95714535E+01;%17 - CH2CHO
+0.13631835E+01 +0.19813821E-01 +0.12497060E-04 -0.33355555E-07 +0.15846571E-10 +0.19245629E+05 +0.17173214E+02;%18 - aC3H5
+0.01493307E+02 +0.02092518E+00 +0.04486794E-04 -0.01668912E-06 +0.07158146E-10 +0.01074826E+05 +0.01614534E+03;%19 - C3H6
+0.12713498E+01 +0.26231054E-01 -0.92912305E-05 -0.47837272E-08 +0.33480543E-11 -0.93357344E+04 +0.19498077E+02;%20 - C2H3CHO
+0.11811380E+01 +0.30853380E-01 +0.50865247E-05 -0.24654888E-07 +0.11110193E-10 -0.17904004E+04 +0.21062469E+02;%21 - C4H81-C4H8
-2.62181594E+00 +1.47237711E-01 -9.43970271E-05 +3.07441268E-08 -4.03602230E-12 -4.00654253E+04 +5.00994626E+01;%22 - NC12H26
-0.55547744E+00 +0.64605728E-01 -0.34200424E-04 +0.50421813E-08 +0.11477376E-11 -0.74860210E+04 +0.31462109E+02;%23 - C6H12
+0.03298677E+02 +0.14082404E-02 -0.03963222E-04 +0.05641515E-07 -0.02444854E-10 -0.10208999E+04 +0.03950372E+02;%24 - N2
