000.1	0300	0300	2211
00.13	0300	0300	2202
0.0731236	0300	0300	0589
0.0864706	0300	0300	0625
0.0922677	0300	0300	0640
0.100877	0300	0300	0662
0.113458	0300	0300	0694
0.121472	0300	0300	0714
0.129148	0300	0300	0733
0.137243	0300	0300	0753
0.14083	0300	0300	0762
0.15457	0300	0300	0794
0.16228	0300	0300	0810
0.179384	0300	0300	2188
0.179687	0300	0300	0843
0.192617	0300	0300	0864
0.232271	0300	0300	0914
0.235109	0300	0300	0917
0.236591	0300	0300	2178
0.254568	0300	0300	0937
0.29234	0300	0300	0970
0.313068	0300	0300	0987
0.33375	0300	0300	2162
0.379842	0300	0300	1033
0.384623	0300	0300	1036
0.421475	0300	0300	1057
0.460559	0300	0300	2148
0.479878	0300	0300	1088
0.538202	0300	0300	1114
0.554409	0300	0300	2137
0.573458	0300	0300	1129
0.653016	0300	0300	1157
0.750399	0300	0300	1187
0.818529	0300	0300	1204
0.935494	0300	0300	1229
1.01369	0300	0300	2105
1.09951	0300	0300	1256
12.3649	0300	0300	1456
12.5628	0300	0300	1922
1.29157	0300	0300	2089
1.32026	0300	0300	1282
13.7992	0300	0300	1913
15.1653	0300	0300	1480
1.55666	0300	0300	1302
1.74294	0300	0300	2071
18.1919	0300	0300	1504
1.9264	0300	0300	1324
21.0785	0300	0300	1873
21.6879	0300	0300	1528
2.38038	0300	0300	2050
2.4805	0300	0300	1345
25.5106	0300	0300	1552
27.466	0300	0300	1844
2.94561	0300	0300	2035
29.5197	0300	0300	1577
31.1122	0300	0300	1827
3.24199	0300	0300	1362
34.5919	0300	0300	1603
38.2806	0300	0300	1624
38.8982	0300	0300	1796
42.6878	0300	0300	1646
4.37196	0300	0300	1378
4.41317	0300	0300	2006
45.2556	0300	0300	1765
45.8629	0300	0300	1669
47.143	0300	0300	1754
48.9875	0300	0300	1691
50.0419	0300	0300	1715
5.53327	0300	0300	1989
5.92627	0300	0300	1394
7.21901	0300	0300	1968
7.71668	0300	0300	1411
9.10314	0300	0300	1949
9.94175	0300	0300	1434
